ensembl_gene_id	gene_biotype	gene	percentage_gene_gc_content	total_counts	n_cells_by_counts
ENSG00000037042	protein_coding	TUBG2	51.91	758	663
ENSG00000037474	protein_coding	NSUN2	43.29	1688	1510
ENSG00000037637	protein_coding	FBXO42	43.86	512	486
ENSG00000037749	protein_coding	MFAP3	43.54	1199	1107
ENSG00000037757	protein_coding	MRI1	52.2	235	213
ENSG00000037897	protein_coding	METTL1	52.12	1166	1057
ENSG00000038002	protein_coding	AGA	39.69	1329	1097
ENSG00000038210	protein_coding	PI4K2B	41.15	484	456
ENSG00000038219	protein_coding	BOD1L1	38.88	4505	3449
ENSG00000038274	protein_coding	MAT2B	38.26	3259	2628
ENSG00000038358	protein_coding	EDC4	57.3	380	362
ENSG00000038382	protein_coding	TRIO	43.38	746	614
ENSG00000038427	protein_coding	VCAN	37.18	137	112
ENSG00000038532	protein_coding	CLEC16A	48.05	862	801
ENSG00000039123	protein_coding	MTREX	36.82	699	670
ENSG00000039319	protein_coding	ZFYVE16	37.74	543	506
ENSG00000039650	protein_coding	PNKP	59.53	1058	988
ENSG00000040199	protein_coding	PHLPP2	41.82	681	613
ENSG00000040341	protein_coding	STAU2	38.25	2054	1405
ENSG00000040487	protein_coding	SLC66A1	54.93	408	387
ENSG00000040531	protein_coding	CTNS	54.27	343	329
ENSG00000040633	protein_coding	PHF23	59.52	1932	1708
ENSG00000040731	protein_coding	CDH10	34	1582	1350
ENSG00000040933	protein_coding	INPP4A	47.33	1039	892
ENSG00000041353	protein_coding	RAB27B	37.74	1452	898
ENSG00000041357	protein_coding	PSMA4	42.32	4287	3348
ENSG00000041515	protein_coding	MYO16	38.48	263	217
ENSG00000041802	protein_coding	LSG1	41.68	731	692
ENSG00000041988	protein_coding	THAP3	56.77	2292	1963
ENSG00000042088	protein_coding	TDP1	42.14	485	454
ENSG00000042286	protein_coding	AIFM2	50.25	134	117
ENSG00000042429	protein_coding	MED17	39.79	332	314
ENSG00000042445	protein_coding	RETSAT	51.29	97	94
ENSG00000042493	protein_coding	CAPG	51.32	97	86
ENSG00000042753	protein_coding	AP2S1	52.87	9808	5775
ENSG00000043039	protein_coding	BARX2	42.77	877	708
ENSG00000043093	protein_coding	DCUN1D1	39.56	1894	1680
ENSG00000043143	protein_coding	JADE2	53.79	401	355
ENSG00000043462	protein_coding	LCP2	44.62	227	198
ENSG00000043514	protein_coding	TRIT1	42.31	261	239
ENSG00000043591	protein_coding	ADRB1	58.77	52	46
ENSG00000044090	protein_coding	CUL7	54.7	59	54
ENSG00000044115	protein_coding	CTNNA1	44.15	2245	1916
ENSG00000044446	protein_coding	PHKA2	45.6	745	661
ENSG00000044459	protein_coding	CNTLN	36.43	129	114
ENSG00000044524	protein_coding	EPHA3	34.59	36	34
ENSG00000044574	protein_coding	HSPA5	44.05	4648	3310
ENSG00000046647	protein_coding	GEMIN8	40.79	54	52
ENSG00000046651	protein_coding	OFD1	39.8	100	93
ENSG00000046653	protein_coding	GPM6B	41.49	40096	8848
ENSG00000046889	protein_coding	PREX2	37.16	10	7
ENSG00000047056	protein_coding	WDR37	45.48	1272	1124
ENSG00000047188	protein_coding	YTHDC2	34.67	802	748
ENSG00000047230	protein_coding	CTPS2	43.51	632	575
ENSG00000047249	protein_coding	ATP6V1H	39.2	1905	1657
ENSG00000047315	protein_coding	POLR2B	40.19	845	773
ENSG00000047346	protein_coding	FAM214A	37.21	1433	1105
ENSG00000047365	protein_coding	ARAP2	35.53	2793	2254
ENSG00000047410	protein_coding	TPR	34.16	4087	3230
ENSG00000047578	protein_coding	KIAA0556	47.84	1061	965
ENSG00000047579	protein_coding	DTNBP1	39.93	878	754
ENSG00000047597	protein_coding	XK	39.51	34	32
ENSG00000047621	protein_coding	C12orf4	36.55	259	243
ENSG00000047648	protein_coding	ARHGAP6	39.23	70	61
ENSG00000047849	protein_coding	MAP4	43.43	4790	3436
ENSG00000047932	protein_coding	GOPC	36.66	1235	1108
ENSG00000048028	protein_coding	USP28	41.45	190	148
ENSG00000048052	protein_coding	HDAC9	36.13	227	212
ENSG00000048140	protein_coding	TSPAN17	58.7	5771	3931
ENSG00000048162	protein_coding	NOP16	49.33	1148	1041
ENSG00000048342	protein_coding	CC2D2A	40.21	31	29
ENSG00000048392	protein_coding	RRM2B	37.99	607	578
ENSG00000048405	protein_coding	ZNF800	37.8	771	726
ENSG00000048462	protein_coding	TNFRSF17	40.26	109	101
ENSG00000048471	protein_coding	SNX29	47.13	1041	956
ENSG00000048544	protein_coding	MRPS10	41.02	3110	2563
ENSG00000048649	protein_coding	RSF1	39.04	1758	1538
ENSG00000048707	protein_coding	VPS13D	42.34	1015	915
ENSG00000048740	protein_coding	CELF2	41.91	4200	2512
ENSG00000048828	protein_coding	FAM120A	42.42	1411	1274
ENSG00000048991	protein_coding	R3HDM1	37.98	4448	3410
ENSG00000049089	protein_coding	COL9A2	57.43	130	122
ENSG00000049130	protein_coding	KITLG	36.84	60	55
ENSG00000049167	protein_coding	ERCC8	37.16	626	585
ENSG00000049245	protein_coding	VAMP3	42.69	5608	4060
ENSG00000049246	protein_coding	PER3	40.53	514	476
ENSG00000049449	protein_coding	RCN1	46.98	99	91
ENSG00000049541	protein_coding	RFC2	48.96	3028	2532
ENSG00000049618	protein_coding	ARID1B	40.89	1084	985
ENSG00000049759	protein_coding	NEDD4L	43.38	1008	836
ENSG00000049769	protein_coding	PPP1R3F	47.9	251	232
ENSG00000049860	protein_coding	HEXB	42.11	43944	2623
ENSG00000049883	protein_coding	PTCD2	40.38	1047	967
ENSG00000050130	protein_coding	JKAMP	36.78	4094	3251
ENSG00000050165	protein_coding	DKK3	48.21	353	306
ENSG00000050344	protein_coding	NFE2L3	44.68	1265	1128
ENSG00000050393	protein_coding	MCUR1	41.24	435	418
ENSG00000050405	protein_coding	LIMA1	42.32	1160	1051
ENSG00000050426	protein_coding	LETMD1	45.34	1362	1259
ENSG00000050438	protein_coding	SLC4A8	42.72	811	677
ENSG00000050628	protein_coding	PTGER3	38.05	15	12
ENSG00000050748	protein_coding	MAPK9	43.58	2094	1571
ENSG00000050820	protein_coding	BCAR1	59.7	2154	1827
ENSG00000051009	protein_coding	FAM160A2	44.55	619	573
